"package_name", "sum(sum_quantity)"
"com.google.analytics.midtier.proto.containertag", "19655"
"com.google.analytics.tracking.android", "44957"
"com.google.android.apps.analytics", "4715"
"com.google.android.gcm", "5235"
"com.google.android.gms", "972"
"com.google.android.gms.a", "108"
"com.google.android.gms.actions", "106"
"com.google.android.gms.ads", "18430"
"com.google.android.gms.ads.doubleclick", "7330"
"com.google.android.gms.ads.identifier", "5783"
"com.google.android.gms.ads.mediation", "2324"
"com.google.android.gms.ads.mediation.admob", "280"
"com.google.android.gms.ads.mediation.customevent", "4480"
"com.google.android.gms.ads.purchase", "951"
"com.google.android.gms.ads.search", "8630"
"com.google.android.gms.analytics", "158939"
"com.google.android.gms.analytics.ecommerce", "7274"
"com.google.android.gms.analytics.internal", "1686"
"com.google.android.gms.appindexing", "2163"
"com.google.android.gms.appstate", "13454"
"com.google.android.gms.auth", "17430"
"com.google.android.gms.auth.api", "4624"
"com.google.android.gms.cast", "60197"
"com.google.android.gms.common", "35221"
"com.google.android.gms.common.annotation", "123"
"com.google.android.gms.common.api", "86038"
"com.google.android.gms.common.data", "49687"
"com.google.android.gms.common.images", "27690"
"com.google.android.gms.common.internal", "25749"
"com.google.android.gms.common.internal.safeparcel", "231720"
"com.google.android.gms.deviceconnection.features", "460"
"com.google.android.gms.drive", "26330"
"com.google.android.gms.drive.events", "9544"
"com.google.android.gms.drive.internal", "116188"
"com.google.android.gms.drive.metadata", "5776"
"com.google.android.gms.drive.metadata.internal", "24364"
"com.google.android.gms.drive.query", "7317"
"com.google.android.gms.drive.query.internal", "24964"
"com.google.android.gms.drive.realtime.internal", "23762"
"com.google.android.gms.drive.realtime.internal.event", "13437"
"com.google.android.gms.drive.widget", "2645"
"com.google.android.gms.dynamic", "52453"
"com.google.android.gms.fitness", "2399"
"com.google.android.gms.fitness.data", "47795"
"com.google.android.gms.fitness.request", "43677"
"com.google.android.gms.fitness.result", "16811"
"com.google.android.gms.fitness.service", "3139"
"com.google.android.gms.games", "63792"
"com.google.android.gms.games.achievement", "11562"
"com.google.android.gms.games.appcontent", "12470"
"com.google.android.gms.games.event", "9254"
"com.google.android.gms.games.internal", "128051"
"com.google.android.gms.games.internal.api", "47913"
"com.google.android.gms.games.internal.constants", "2550"
"com.google.android.gms.games.internal.data", "306"
"com.google.android.gms.games.internal.events", "1714"
"com.google.android.gms.games.internal.experience", "452"
"com.google.android.gms.games.internal.game", "21844"
"com.google.android.gms.games.internal.multiplayer", "3142"
"com.google.android.gms.games.internal.notification", "1608"
"com.google.android.gms.games.internal.player", "6081"
"com.google.android.gms.games.internal.request", "4867"
"com.google.android.gms.games.leaderboard", "23063"
"com.google.android.gms.games.multiplayer", "42275"
"com.google.android.gms.games.multiplayer.realtime", "25203"
"com.google.android.gms.games.multiplayer.turnbased", "31465"
"com.google.android.gms.games.quest", "20854"
"com.google.android.gms.games.request", "14370"
"com.google.android.gms.games.snapshot", "19083"
"com.google.android.gms.gcm", "6741"
"com.google.android.gms.identity.intents", "4927"
"com.google.android.gms.identity.intents.model", "5130"
"com.google.android.gms.internal", "1038552"
"com.google.android.gms.location", "29238"
"com.google.android.gms.maps", "90902"
"com.google.android.gms.maps.internal", "196431"
"com.google.android.gms.maps.model", "152475"
"com.google.android.gms.maps.model.a", "250"
"com.google.android.gms.maps.model.internal", "128831"
"com.google.android.gms.panorama", "740"
"com.google.android.gms.plus", "26960"
"com.google.android.gms.plus.internal", "33542"
"com.google.android.gms.plus.model.moments", "10351"
"com.google.android.gms.plus.model.people", "1405"
"com.google.android.gms.security", "1884"
"com.google.android.gms.tagmanager", "234205"
"com.google.android.gms.wallet", "39269"
"com.google.android.gms.wallet.fragment", "29973"
"com.google.android.gms.wallet.wobs", "14734"
"com.google.android.gms.wearable", "37316"
"com.google.android.gms.wearable.internal", "68574"
"com.google.android.maps", "49"
"com.google.android.youtube.player", "773"
"com.google.android.youtube.player.internal", "288"
"com.google.appengine.api.urlfetch", "180"
"com.google.common.base", "9207"
"com.google.common.cache", "2056"
"com.google.common.collect", "36552"
"com.google.common.io", "58"
"com.google.common.primitives", "810"
"com.google.common.util.concurrent", "1216"
"com.google.gdata.util.common.base", "1824"
"com.google.gson", "48957"
"com.google.gson.annotations", "348"
"com.google.gson.internal", "35467"
"com.google.gson.internal.bind", "57056"
"com.google.gson.reflect", "5337"
"com.google.gson.stream", "39165"
"com.google.tagmanager", "65769"
"com.google.tagmanager.proto", "4221"
"com.google.tagmanager.protobuf", "57786"
"com.inmobi.androidsdk", "1954"
"com.inmobi.commons", "23"
"com.inmobi.commons.analytics.androidsdk", "161"
"com.inmobi.commons.analytics.iat.impl.net", "108"
"com.inmobi.commons.internal", "3841"
"com.inmobi.commons.metric", "1224"
"com.inmobi.monetization", "540"
"com.inmobi.re.configs", "60"
"com.inmobi.re.container", "6789"
"com.inmobi.re.container.mraidimpl", "3875"
"com.inmobi.re.controller", "8521"
"com.inmobi.re.controller.util", "852"
"com.j256.ormlite.android", "4613"
"com.j256.ormlite.android.apptools", "696"
"com.j256.ormlite.dao", "7824"
"com.j256.ormlite.db", "2613"
"com.j256.ormlite.field", "10116"
"com.j256.ormlite.field.types", "5520"
"com.j256.ormlite.logger", "2647"
"com.j256.ormlite.misc", "1754"
"com.j256.ormlite.stmt", "6163"
"com.j256.ormlite.stmt.mapped", "3540"
"com.j256.ormlite.stmt.query", "1483"
"com.j256.ormlite.support", "1771"
"com.j256.ormlite.table", "3645"
"com.localytics.android", "3187"
"com.loopj.android.http", "4491"
"com.millennialmedia.android", "26509"
"com.mixpanel.android.mpmetrics", "2592"
